Bird,Survived,Beak_depth
9,No,8.30
12,No,7.50
276,No,8.00
278,No,10.60
283,No,11.20
288,No,9.10
293,No,9.50
294,No,10.50
298,No,8.40
307,No,8.60
311,No,9.20
315,No,8.80
321,No,8.50
342,No,8.00
343,No,9.70
345,No,8.40
346,No,7.90
347,No,9.30
352,No,7.70
356,No,8.50
413,No,8.20
420,No,9.70
422,No,10.30
428,No,10.20
452,No,8.90
456,No,9.60
457,No,7.85
458,No,9.60
461,No,9.80
462,No,8.80
468,No,9.00
503,No,9.10
506,No,9.20
507,No,8.80
509,No,9.20
511,No,8.80
512,No,9.40
519,No,8.30
522,No,8.40
561,No,10.20
564,No,9.30
605,No,10.20
609,No,10.50
610,No,9.00
611,No,9.80
619,No,9.30
621,No,7.60
674,No,10.50
676,No,9.70
687,No,8.60
309,Yes,9.80
560,Yes,8.50
572,Yes,10.30
618,Yes,9.90
623,Yes,8.80
673,Yes,10.10
685,Yes,8.20
891,Yes,8.00
931,Yes,8.90
943,Yes,9.10
1452,Yes,9.80
1477,Yes,10.10
1528,Yes,8.55
1587,Yes,9.30
1592,Yes,10.00
1599,Yes,10.70
1635,Yes,9.10
1643,Yes,8.80
1850,Yes,10.40
1861,Yes,10.70
1884,Yes,9.15
1919,Yes,11.20
2206,Yes,10.50
2211,Yes,9.70
2226,Yes,8.90
2887,Yes,10.10
8136,Yes,8.90
616,Yes,9.60
1248,Yes,8.50
2210,Yes,10.08
2242,Yes,9.45
2939,Yes,8.31
354,Yes,9.80
678,Yes,9.70
1418,Yes,10.38
1426,Yes,10.61
1527,Yes,8.38
1659,Yes,10.78
2244,Yes,11.01
2249,Yes,10.68
2940,Yes,8.78
3642,Yes,10.28
8191,Yes,10.86
1019,Yes,11.21
1372,Yes,9.48
1797,Yes,9.31
2378,Yes,9.86
8190,Yes,9.28
316,Yes,9.85
710,Yes,10.00
